| Prompt | Error |
| A glazed donut hanging from a metal rod | 174.4785919189453 |
| An orange striped tabby cat laying on top of a red vehicles wheel | 515.4503784179688 |
| A large jetliner flying over a traffic filled street | 949.0195922851562 |
| A silver and red bus in parking lot next to cars | 390.5682067871094 |
| A red helmet is on a yellow toilet in the dirt | 239.06907653808594 |
| a little kid riding a skateboard at a park | 131.1465606689453 |
| A young man wearing black attire and a flowered tie is standing and smiling | 271.2171325683594 |
| A car with some surfboards in a field | 580.4157104492188 |
| A person on a street next to a motor bike | 296.3389892578125 |
| A man looking down with a backpack on in a house | 249.75494384765625 |
| A cat on the lid of a toilet looking perturbed | 242.97789001464844 |
| A toilet sitting in a bathroom next to a mirror | 752.6243286132812 |
| Bathroom with white fixtures, tiles and corner shower | 235.97467041015625 |
| An older building with birds flying near it | 457.5956115722656 |
| a motorcycle in a driveway with a vanity license plate | 624.0645751953125 |
| A picture of a wooden container with crosses on it | 925.785888671875 |
| There is a man picking bananas next to a street | 780.3147583007812 |
| A restroom has a toilet and a decorative sun wall plaque | 677.0194091796875 |
| some horses grazing in front of a church | 424.1662902832031 |
| A horse drawn carriage is parked along the curb | 769.9783325195312 |
| a toilet on the ground outdoors in front of a house | 540.1644287109375 |
| The shiny motorcycle is being shown on a display | 559.8327026367188 |
| Horses graze in front of a large building amid snow | 276.7016296386719 |
| A large clock tower with a wind indicator on top | 350.9281311035156 |
| A woman is riding a motorcycle down the street | 1805.6993408203125 |
| A motorcycle sitting on the side of a street corner | 582.6674194335938 |
| A small white toilet sitting next to a metal trash can | 587.0224609375 |
| A purple motorcycle parked in front of a red brick building | 398.2290954589844 |
| A few people working on various computers in an office | 468.8227844238281 |
| Avg Train | 424.4263916015625 |
| Avg Test | 426.1963195800781 |
