| Prompt | Error |
| some horses grazing in front of a church | 899.7686157226562 |
| A horse drawn carriage is parked along the curb. | 627.2503051757812 |
| a toilet on the ground outdoors in front of a house | 300.2460021972656 |
| The shiny motorcycle is being shown on a display. | 588.6947021484375 |
| Horses graze in front of a large building amid snow. | 470.2476806640625 |
| A large clock tower with a wind indicator on top. | 522.6350708007812 |
| A woman is riding a motorcycle down the street. | 211.2752685546875 |
| A motorcycle sitting on the side of a street corner. | 448.3359680175781 |
| A small white toilet sitting next to a metal trash can. | 119.48040771484375 |
| A purple motorcycle parked in front of a red brick building. | 1015.2266235351562 |
| A few people working on various computers in an office. | 445.0082702636719 |
| Avg Train | 404.1484375 |
| Avg Test | 439.9760437011719 |
